experiment,auc_min,auc_max,auc_mean,auc_std,recall_min,recall_max,recall_mean,recall_std,f1_min,f1_max,f1_mean,f1_std
pre_gan__post_time_weight_decay,0.8936071143606096,0.9028759617401736,0.8990615066037062,0.0035285578185205372,0.7186704107620976,0.7674524913472213,0.7384905836840271,0.019850595836857127,0.6321252635173318,0.7023356961923144,0.6795593689707125,0.027319139676647935
pre_gan__post_none,0.8903213506223158,0.9052768134936817,0.8964972743813648,0.0058849474552348496,0.7044534412955465,0.7674524913472213,0.7341414795209561,0.02570916606027601,0.6321252635173318,0.6907114334415208,0.6734521977795895,0.02356657682224363
pre_smote__post_none,0.8601626921963601,0.8698292856792906,0.8646570898924688,0.0035052744103256915,0.6824583866837388,0.7286113374461646,0.7065650098940752,0.020548193470791728,0.600530936522141,0.6295031595964051,0.6146519476311674,0.013362090440704823
pre_smote__post_time_weight_decay,0.8601626921963601,0.8654099300485137,0.8633475296891392,0.001982027726037188,0.6824583866837388,0.7194156675590735,0.7030147829123502,0.01701690764250333,0.600530936522141,0.6295031595964051,0.6157511411556759,0.012912484450801188
pre_graph_smote__post_none,0.845699633419501,0.8564769038181019,0.8519998263886481,0.0042456074400450605,0.6763033175355451,0.722153758650109,0.6996234372746637,0.018901685999829193,0.5542117155640645,0.5923080118896769,0.5726750604754514,0.014497925793074065
pre_graph_smote__post_time_weight_decay,0.845699633419501,0.8551426929974479,0.8513955731863995,0.00361767484213925,0.6547867298578199,0.722153758650109,0.6953201197391186,0.026471704576881337,0.5542117155640645,0.596153759660458,0.5734442100296075,0.015839807355278346
pre_graph_gan__post_time_weight_decay,0.8422714936932374,0.8544652752725063,0.851322488678748,0.005113427498661552,0.6559241706161137,0.7199734571997346,0.6875471065068048,0.025171123200925065,0.5647594366452541,0.596178086704211,0.5805295433170001,0.011586770272282956
pre_graph_gan__post_none,0.8422714936932374,0.8544652752725063,0.8510702113294208,0.005045971361589152,0.6181042654028436,0.7199734571997346,0.6767793339949565,0.04041485241410627,0.5647594366452541,0.6116725411294517,0.5856819425178943,0.01833853883241952
pre_none__post_none,0.8248974811228783,0.8535197730265864,0.8439218574085849,0.011012935501916288,0.6062559241706161,0.7301165987297374,0.6565698992604586,0.0500758500038165,0.545636060452581,0.6219356723382929,0.5853843202780433,0.027841292775598676
pre_none__post_time_weight_decay,0.8248974811228783,0.8531314168571822,0.8438441861747041,0.010929373614274264,0.6144075829383886,0.7301165987297374,0.6605509419144872,0.04567361442183801,0.545636060452581,0.6181142443242922,0.5846200346752433,0.02661238556524988
pre_gan__post_contrastive_learning,0.7216888446293781,0.817919842841661,0.7795884772871339,0.04144369364211937,0.49173904525566514,0.8370665447658852,0.7075107844332857,0.13172170331314534,0.41850790800865717,0.5401834865119287,0.4951321537480669,0.04722593963977626
pre_none__post_contrastive_learning,0.5751934494697466,0.7314992719551656,0.6610949562342896,0.057633087727111,0.51587828230164,0.6924170616113744,0.6284699728956138,0.06923927962613978,0.3636274977674825,0.47243841417462024,0.4295246752089234,0.04337797536548904
pre_smote__post_contrastive_learning,0.5629720647029416,0.7335355172499496,0.6562204111140122,0.07257804659050981,0.3963450122220929,0.8098009544872541,0.5952741240833431,0.16795441656115656,0.38929424839199417,0.45508183576642897,0.4375835324981464,0.0272355723115612
pre_graph_gan__post_contrastive_learning,0.4698267565695866,0.725653709819687,0.5986106085876973,0.11672275693042654,0.4709952606635071,0.7718483412322275,0.5938715926893184,0.11808801465173792,0.30126615244999244,0.47257847351766036,0.3865448876107984,0.07491576752325949
pre_graph_smote__post_contrastive_learning,0.41387394526937904,0.6484719333381659,0.5271939763425795,0.09007694316724466,0.45795810029386674,0.6835071090047393,0.545963579576061,0.11435388422848633,0.3138061155244682,0.4155727195587362,0.3671414986684352,0.04742678743892502
